Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT_BH123A,2,BH123A,
"C18, C19, C20, C21, C22, C23, C24, C25",0603,8,10uF,
"C3, C30, C32, C41, C42, C43, C45",0402,7,100nF,
"C31, C44",0402,2,470nF,
"C35, C39, C40, C47, C51, C53, C54, C55, C58",1210,9,22uF,
"C36, C37",0603,2,4.7uF,
C38,0402,1,1uF,
"C48, C49",0402,2,10nF,
D2,0603,1,LTST-S270KRKT,
J1,HARWIN_M55-7102642R,1,M55-7102642R,
JP1,SmallJumper,1,FTSW EN,
"L1, L3",0805,2,470nH,
L2,IND_SRP4020FA-2R2M_BRN,1,2.2uH,
"Q1, Q2, Q3, Q5",TRANS_PMPB11EN_115,4,"PMPB13XNE,115",
"Q4, Q6",SOT-23-3,2,"T2N7002AK,LM",
"R11, R13",0402,2,280k,
"R12, R19, R22",0402,3,50k,
R14,0402,1,82.5k,
R15,0402,1,143k,
R16,0402,1,6.2k,
R17,0402,1,36k,
"R18, R23, R27, R28, R30",0402,5,10,
R20,0402,1,40k,
"R21, R29, R31",1206,3,5m,
"R24, R26, R32, R35, R38",0402,5,10k,
R3,0402,1,649k,
"R36, R37",0402,2,100,
R4,0402,1,348k,
R5,0402,1,750,
R9,HeaterConnection,1,Heater,
"TH1, TH2",NRBG104F3435B2F,2,NRBG104F3435B2F,
TP3,TestPoint_Pad_D1.0mm,1,3.3V,
TP4,TestPoint_Pad_D1.0mm,1,GND,
U1,SOT_INA185_TEX,1,INA185A4IDRLR,
"U10, U2",SOT_V-T1-GE3_VIS-M,2,SI3477DV-T1-GE3,
U13,RPW0010A-MFG,1,TPS259472ARPWR,
U3,SOTFL50P160X60-8N,1,TPS2117DRLR,
"U6, U7",VREG_TPS63802DLAR,2,TPS63802DLAR,
U8,IC_BQ25756ERRVR,1,BQ25756ERRVR,
