Designator,Mid X,Mid Y,Rotation,Layer
BT1,92.02875,-72.98875,180.0,bottom
BT2,92.04875,-54.61875,180.0,bottom
C18,98.69,-65.22,0.0,top
C19,97.92,-60.93,0.0,top
C20,86.21,-65.303676,0.0,top
C21,86.305,-61.37,0.0,top
C22,95.925,-55.59,0.0,top
C23,83.9,-55.21,90.0,top
C24,95.93,-57.15,0.0,top
C25,95.945,-58.62,0.0,top
C3,75.47,-72.76,90.0,top
C30,85.42,-69.5,90.0,top
C31,86.17,-71.26,0.0,top
C32,86.78,-69.47,270.0,top
C35,96.19,-72.69,0.0,top
C36,89.68,-75.06,0.0,top
C37,89.68,-73.54,0.0,top
C38,82.51,-70.0,0.0,top
C39,105.73,-75.53,0.0,top
C40,96.18,-76.23,0.0,top
C41,88.71,-72.18,0.0,top
C42,88.37,-78.99,0.0,top
C43,85.84,-81.32,0.0,top
C44,84.52,-80.13,180.0,top
C45,83.2375,-81.32,0.0,top
C47,80.55,-55.83,270.0,top
C48,107.39,-66.97,180.0,top
C49,107.39,-69.17,180.0,top
C51,100.78,-70.98,270.0,top
C53,105.72,-82.69,0.0,top
C54,111.35,-80.01,270.0,top
C55,110.5,-62.1,270.0,top
C58,102.39,-54.45,0.0,top
D2,77.56,-77.71,180.0,top
J1,91.95,-48.46,180.0,top
JP1,109.53,-71.6,270.0,top
L1,91.69,-64.26,90.0,top
L2,96.56,-80.56,0.0,top
L3,79.59,-63.063676,90.0,top
Q1,91.835,-82.35,0.0,top
Q2,101.345,-79.39,0.0,top
Q3,101.345,-82.32,0.0,top
Q4,108.33,-50.22,270.0,top
Q5,91.825,-79.37,0.0,top
Q6,73.2,-66.3,270.0,top
R11,98.33,-62.59,0.0,top
R12,98.32,-63.69,0.0,top
R13,85.8475,-62.803676,0.0,top
R14,79.97,-81.74,180.0,top
R15,77.2,-81.71,180.0,top
R16,74.53,-79.37,0.0,top
R17,77.34,-79.41,0.0,top
R18,83.7,-71.28,180.0,top
R19,80.08,-79.41,180.0,top
R20,79.6725,-72.69,0.0,top
R21,96.22,-68.88,180.0,top
R22,85.8475,-63.973676,0.0,top
R23,88.73,-68.9,0.0,top
R24,79.05,-74.91,180.0,top
R26,79.07,-76.25,0.0,top
R27,89.45,-76.44,0.0,top
R28,85.86,-82.6,0.0,top
R29,105.65,-79.3,0.0,top
R3,107.29,-71.97,0.0,top
R30,83.16,-83.51,180.0,top
R31,87.57,-58.39,180.0,top
R32,71.94,-70.25,0.0,top
R35,104.89,-44.2,0.0,bottom
R36,109.92,-53.26,180.0,top
R37,74.73,-70.26,0.0,top
R38,76.43,-43.63,0.0,bottom
R4,105.19,-71.98,0.0,top
R5,107.36,-68.08,180.0,top
R9,92.0,-45.81,0.0,bottom
TH1,73.36,-46.99,0.0,top
TH2,76.68,-46.975,0.0,top
TP3,111.8,-45.19,0.0,top
TP4,108.95,-45.21,0.0,top
U1,72.99,-72.6175,0.0,top
U10,88.66,-54.73,0.0,top
U13,105.354999,-64.769999,270.0,top
U2,97.9878,-44.85004,0.0,bottom
U3,91.645,-60.42,180.0,top
U6,95.11,-64.27,180.0,top
U7,82.65,-63.64,180.0,top
U8,84.25,-75.82,0.0,top
