Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0402,2,10nF,
"C10, C11, C2, C3",0402,4,22pF,
"C18, C22, C24, C28, C33, C4, C5, C7, C8",0402,9,100nF,
"C26, C27",0402,2,1uF,
C6,0603,1,4.7uF,
C9,0603,1,10uF,
IC1,SOIC-8_5.3x5.3mm_P1.27mm,1,MX25L25645GM2I-08G-TR,
J3,HARWIN_M55-7104042R,1,M55-7104042R,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"R10, R7",0402,2,10k,
"R2, R3",0402,2,1k,
R22,0402,1,100k,
R25,0402,1,120,
RN1,RESCAXE64P320X160X70-10N,1,YC158TJR-072K2L,
"SW1, SW2",SW_TL1015AF160QG,2,SW_TL1015AF160QG,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32L496RGT6TR,
U5,BNO086,1,BNO086,
U9,SOT65P280X145-8N,1,TCAN332DCNR,
"Y2, Y3",XTAL_ABS07-32.768KHZ-T,2,XTAL_ABS07-32.768KHZ-T,
