Designator,Mid X,Mid Y,Rotation,Layer
C1,78.74,-55.89,180.0,top
C10,106.74,-48.13,90.0,top
C11,106.74,-45.5025,270.0,top
C12,78.74,-54.68,180.0,top
C18,90.39,-58.5925,270.0,top
C2,78.64,-49.1475,90.0,top
C22,105.0,-43.01,90.0,top
C24,82.88,-41.515,90.0,top
C26,76.32,-50.18,180.0,top
C27,95.78,-46.355,0.0,top
C28,76.31,-52.39,180.0,top
C3,78.64,-45.3625,270.0,top
C33,85.47,-41.28,180.0,top
C4,98.38,-47.26,180.0,top
C5,103.0,-43.01,270.0,top
C6,87.31,-58.69,270.0,top
C7,83.89,-58.575,270.0,top
C8,105.23,-35.2175,90.0,top
C9,77.105,-62.33,180.0,top
H5,75.64,-37.02,0.0,top
H6,108.64,-37.02,0.0,top
IC1,99.42,-37.74,270.0,top
J3,92.14,-68.1,0.0,top
J5,109.81,-69.92,0.0,top
R10,101.7,-43.04,270.0,top
R2,76.3325,-55.9,0.0,top
R22,85.62,-38.34,180.0,top
R25,92.83,-41.19,90.0,top
R3,76.36,-54.66,0.0,top
R7,85.63,-35.93,0.0,top
RN1,75.775,-42.85,0.0,top
SW1,89.97,-36.87,0.0,top
SW2,81.35,-36.88,0.0,top
U1,86.64,-50.115,270.0,top
U5,102.768,-48.01,0.0,top
U9,89.48,-40.96,0.0,top
Y2,76.25,-47.38,90.0,top
Y3,109.23,-46.62,270.0,top
