Designator,Mid X,Mid Y,Rotation,Layer
BT1,91.91375,-55.92875,180.0,bottom
BT2,91.89375,-74.29875,180.0,bottom
C1,70.91,-55.31,180.0,top
C10,86.01,-66.03,90.0,top
C11,88.13,-66.02,90.0,top
C12,90.2,-66.02,90.0,top
C13,89.15,-66.02,90.0,top
C14,92.17,-67.59,0.0,top
C15,82.95,-70.34,180.0,top
C16,84.97,-66.03,90.0,top
C17,82.92,-71.57,180.0,top
C18,111.43,-80.1,0.0,top
C19,92.17,-68.61,0.0,top
C2,70.92,-56.51,180.0,top
C20,87.11,-66.03,90.0,top
C21,92.17,-69.63,0.0,top
C22,75.47,-77.99,90.0,top
C23,92.17,-70.68,0.0,top
C24,89.87,-74.45,90.0,top
C25,92.0,-74.44,270.0,top
C26,109.7,-84.86,270.0,top
C27,108.63,-84.86,270.0,top
C28,93.35,-60.64,90.0,top
C29,82.99,-74.41,90.0,top
C3,88.84,-60.74,90.0,top
C30,97.52,-84.84,270.0,top
C31,96.93,-83.37,180.0,top
C32,96.44,-84.84,90.0,top
C33,82.45,-58.83,180.0,top
C34,105.7,-69.42,180.0,top
C35,100.09,-58.64,0.0,top
C36,92.71,-78.77,180.0,top
C37,92.7,-79.83,180.0,top
C38,99.78,-83.77,90.0,top
C39,105.71,-71.88,180.0,top
C4,76.03,-85.44,180.0,top
C40,98.84,-54.68,270.0,top
C41,93.85,-81.24,180.0,top
C42,93.78,-77.24,0.0,top
C43,98.63,-73.1,90.0,top
C44,99.19,-74.61,0.0,top
C45,99.69,-73.1,270.0,top
C46,88.84,-74.44,90.0,top
C5,72.58,-81.9,0.0,top
C6,71.61,-52.42,180.0,top
C7,73.96,-52.41,0.0,top
C8,92.17,-71.76,0.0,top
C9,92.16,-72.79,0.0,top
D1,78.7,-54.344,90.0,top
D2,105.31,-80.07,270.0,top
J1,74.59,-71.330001,180.0,top
J2,76.34,-47.06,180.0,top
J3,98.7,-47.78,180.0,top
L1,111.85,-82.83,270.0,top
L2,100.19,-63.45,180.0,top
Q1,95.759999,-61.366,0.0,top
Q2,104.589998,-61.37,180.0,top
Q3,104.640001,-65.4,180.0,top
Q4,95.69,-65.316,0.0,top
R1,90.93,-74.46,90.0,top
R10,72.55,-83.05,0.0,top
R11,107.31,-84.9,270.0,top
R12,106.2,-84.9,270.0,top
R13,107.71,-59.99,0.0,top
R14,102.57,-74.89,180.0,top
R15,102.57,-73.67,0.0,top
R16,103.09,-77.8,270.0,top
R17,104.3,-77.79,270.0,top
R18,98.64,-83.79,270.0,top
R19,103.68,-76.07,0.0,top
R2,93.07,-74.46,90.0,top
R20,100.93,-83.74,90.0,top
R21,101.46,-54.64,270.0,top
R22,78.54,-64.31,270.0,top
R23,95.19,-83.84,270.0,top
R24,103.56,-80.94,0.0,top
R25,83.02,-52.94,180.0,top
R26,103.57,-79.61,180.0,top
R27,94.26,-79.3,270.0,top
R28,97.48,-74.14,90.0,top
R29,110.12,-66.28,0.0,top
R30,100.79,-74.14,90.0,top
R31,88.09,-58.15,0.0,top
R32,84.86,-58.06,90.0,top
R33,94.55,-58.09,0.0,top
R34,91.49,-57.99,90.0,top
R8,75.48,-57.76,0.0,top
RN1,81.98,-63.395,0.0,top
SW1,72.32,-63.22,90.0,top
SW2,76.15,-63.2075,90.0,top
U1,86.79,-60.72,0.0,top
U10,88.31,-54.69,0.0,top
U11,91.2777,-60.66,0.0,top
U12,94.52,-54.69,0.0,top
U2,102.8122,-45.89004,0.0,bottom
U3,87.74,-70.17,0.0,top
U4,73.938,-55.092,0.0,top
U5,77.29,-81.948,90.0,top
U6,108.78,-82.08,0.0,top
U7,110.23,-62.61,180.0,top
U8,98.74,-79.02,180.0,top
U9,82.21,-55.9,90.0,top
Y1,85.92,-74.73,0.0,top
