Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C6",0603,5,10uF,
"C4, C8, C9",0402,3,1uF,
C5,0603,1,4.7uF,
C7,0402,1,100nF,
"D1, D2, D3, D4",DIODFN100X60X55-2N,4,CDBQC0130L,
J1,HARWIN_M55-6001242R,1,M55-6001242R,
L1,WE-LQFS_3818,1,10uH,
R1,0402,1,215K,
"R2, R7",0402,2,820K,
"R3, R5, R6",0402,3,200K,
R4,0402,1,549K,
"SC1, SC2, SC3, SC4, SC5, SC6, SC7, SC8",SOLAR_KXOB25-14X1F-TR,8,Solar_Cell,
U1,DFN-10_DD_LIT,1,LTC3105EDD-TRPBF,
U2,DNP0006A,1,OPT3004DNPR,
U3,IC_LM73100RPWR,1,LM73100RPWR,
