Designator,Mid X,Mid Y,Rotation,Layer
C1,88.8825,-86.1,0.0,bottom
C10,88.89,-84.4,0.0,bottom
C2,88.8825,-87.81,0.0,bottom
C3,93.74,-92.78,270.0,bottom
C4,89.67,-93.85,90.0,bottom
C5,83.52,-91.13,0.0,bottom
C6,95.31,-92.76,270.0,bottom
C7,102.66,-97.38,270.0,bottom
C8,97.49,-92.8,270.0,bottom
C9,101.24,-92.7,0.0,bottom
D1,76.1575,-80.43,180.0,bottom
D2,84.755,-80.43,180.0,bottom
D3,93.6975,-80.45,180.0,bottom
D4,102.045,-80.45,180.0,bottom
H1,104.95,-72.65,0.0,top
H2,65.0,-72.65,0.0,top
H3,104.95,-112.65,0.0,top
H4,65.0,-112.65,0.0,top
J1,108.11,-92.59,270.0,bottom
L1,93.975,-88.22,0.0,bottom
R1,83.55,-89.62,0.0,bottom
R2,91.43,-92.825,90.0,bottom
R3,91.41,-95.575,90.0,bottom
R4,98.025,-87.025,180.0,bottom
R5,97.9825,-84.84,0.0,bottom
R6,102.13,-84.85,0.0,bottom
R7,102.13,-87.02,180.0,bottom
SC1,71.64,-81.43,90.0,top
SC2,80.35,-81.43,270.0,top
SC3,89.06,-81.43,90.0,top
SC4,97.86,-81.42,270.0,top
SC5,71.64,-105.1,270.0,top
SC6,80.37,-105.1,90.0,top
SC7,89.05,-105.09,270.0,top
SC8,97.85,-105.09,90.0,top
U1,88.1922,-90.620001,90.0,bottom
U2,105.529999,-91.859999,180.0,top
U3,99.925,-90.1325,270.0,bottom
